    ('agnetha',  'Camelot',  '10/01/2016', 'Crow''s Lament',  'warrior'),
    ('agnetha',  'The Deep', '08/27/2016', 'The Shark Tank',  'spell caster'),
    ('agnetha',  'The Deep', '10/08/2016', 'Mermaid Waltz',   'warrior'),
    ('agnetha',  'Valhalla', '09/24/2016', 'Odin Open',       'warrior'),
    ('agnetha',  'Valhalla', '10/15/2016', 'Racoon Rodeo',    'tank'),
    ('agnetha',  'Walmart',  '09/17/2016', 'Revenge of Sam',  'tank'),

    ('astral',   'Buffalo',  '10/15/2016', 'Boarder Chaos',   'healer'),
    ('astral',   'Camelot',  '08/27/2016', 'Mordred''s Fear', 'tank'),
    ('astral',   'Camelot',  '09/10/2016', 'Mordred''s Fear', 'spell caster'),
    ('astral',   'Camelot',  '09/24/2016', 'Merlin Prophesy', 'comic relief'),
    ('astral',   'The Deep', '09/17/2016', 'Funny Fishes',    'comic relief'),
    ('astral',   'Walmart',  '08/20/2016', 'Wrong Price',     'rogue'),
    ('astral',   'Walmart',  '09/03/2016', 'Wrong Price',     'rogue'),
    ('astral',   'Walmart',  '10/01/2016', 'The Last TV',     'rogue'),
    ('astral',   'Walmart',  '10/08/2016', 'Closing Soon',    'comic relief'),

    ('bobby',    'Camelot',  '10/15/2016', 'Bad Habits',      'healer'),
    ('bobby',    'Valhalla', '08/20/2016', 'Thor Snore',      'tank'),
    ('bobby',    'Valhalla', '08/27/2016', 'Raccoon Rodeo',   'healer'),
    ('bobby',    'Valhalla', '09/03/2016', 'Thor Snore',      'healer'),
    ('bobby',    'Valhalla', '09/17/2016', 'Racoon Rodeo',    'spell caster'),
    ('bobby',    'Valhalla', '09/24/2016', 'Odin Open',       'tank'),
    ('bobby',    'Walmart',  '09/10/2016', 'None Left',       'tank'),
    ('bobby',    'Walmart',  '10/08/2016', 'Closing Soon',    'spell caster'),

    ('cait',     'Camelot',  '09/17/2016', 'Bad Habits',      'tank'),
    ('cait',     'The Deep', '08/27/2016', 'Mermaid Waltz',   'warrior'),
    ('cait',     'The Deep', '09/03/2016', 'Mermaid Waltz',   'warrior'),
